RIC,Symbol,Exchange,CompanyName,Sector,Industry,Last
PVP.HNO,PVP,UPCOM,Pacific Petroleum Transportation JSC,Energy,Oil Well Services & Equipment,16600
PVR.HNO,PVR,UPCOM,Ha Noi PVR Investment JSC,Real Estate,Real Estate Management & Development,1900
PVS.HN,PVS,HNX,Petrovietnam Technical Services Corp,Energy,Energy Equipment & Services,30300
PVT.HM,PVT,HOSE,Petrovietnam Transportation Corp,Energy,Energy Equipment & Services,21250
PVX.HNO,PVX,UPCOM,PetroVietnam Construction Joint Stock Corp,Industrials,Construction & Engineering,1000
PXA.HNO,PXA,UPCOM,PetroVietnam Nghe An Investment & Trading JSC,Industrials,Construction & Engineering,2000
PXI.HM,PXI,HOSE,Petroleum Industrial And Civil Construction JSC,Industrials,Construction & Engineering,3450
PXL.HNO,PXL,UPCOM,Long Son Petroleum Industrial Zone Investment JSC,Industrials,Construction & Engineering,9800
PXM.HNO,PXM,UPCOM,Mien Trung Petroleum Construction JSC,Industrials,Construction & Engineering,600
PXS.HM,PXS,HOSE,Petroleum Equipment Assembly and Metal Structure JSC,Energy,Energy Equipment & Services,6860
PXT.HNO,PXT,UPCOM,Petroleum Pipeline & Tank Construction JSC,Energy,Energy Equipment & Services,2200
QBS.HN,QBS,HNX,Quang Binh Import and Export JSC,Consumer/Non-Cyclical,Personal & Household Prods.,3100
QCC.HNO,QCC,UPCOM,Construction Investment And Telecommunications Infrastructure Development JSC,Industrials,Construction & Engineering,9200
QCG.HM,QCG,HOSE,Quoc Cuong GiaLai JSC,Real Estate,Real Estate Management & Development,7520
QHD.HN,QHD,HNX,Viet Duc Welding Electrode JSC,Industrials,Electrical Equipment,36600
QHW.HNO,QHW,UPCOM,Quang Ninh Mineral Water Corp,Consumer/Non-Cyclical,Food Processing,17500
QLT.HNO,QLT,UPCOM,Inland Waterway Management Maintenance No10 JSC,Industrials,Transportation Infrastructure,16700
QNC.HNO,QNC,UPCOM,Quang Ninh Construction and Cement JSC,Materials,Construction Materials,5300
QNS.HNO,QNS,UPCOM,Quang Ngai Sugar JSC,Consumer Staples,Food Products,40400
QPH.HNO,QPH,UPCOM,Que Phong Hydropower JSC,Industrials,Construction & Engineering,24000
QSP.HNO,QSP,UPCOM,Quy Nhon New Port JSC,Transportation,Misc. Transportation,19900
QST.HN,QST,HNX,Quang Ninh Book and Educational Equipment JSC,Consumer Discretionary,Distributors,13500
QTC.HN,QTC,HNX,Quang Nam Construction Transportation JSC,Industrials,Construction & Engineering,14800
QTP.HNO,QTP,UPCOM,Quang Ninh Thermal Power JSC,Utilities,Independent Power and Renewable Electricity Producers,14200
RAL.HM,RAL,HOSE,Rang Dong Light Source and Vacuum Flask JSC,Industrials,Electrical Equipment,195900
RAT.HNO,RAT,UPCOM,Railway Transport And Trade JSC,Industrials,Road & Rail,10300
RBC.HNO,RBC,UPCOM,Rubber Industry and Import Export JSC,,,14600
RCC.HNO,RCC,UPCOM,Railway Construction Corporation JSC,Industrials,Industrial Conglomerates,26400
RCD.HNO,RCD,UPCOM,Rubber Real Estate Construction JSC,Industrials,Construction & Engineering,5100
RCL.HN,RCL,HNX,Cho Lon Real Estate JSC,Real Estate,Real Estate Management & Development,16200
RDP.HM,RDP,HOSE,Rang Dong Holding JSC,Materials,Chemicals,9700
